(SCHEMES,"Schemes",1)
(COLON,":",1)
(LEFT_PAREN,"(",2)
(COMMA,",",2)
(COMMA,",",2)
(COMMA,",",2)
(RIGHT_PAREN,")",2)
(LEFT_PAREN,"(",3)
(COMMA,",",3)
(COMMA,",",3)
(RIGHT_PAREN,")",3)
(LEFT_PAREN,"(",4)
(COMMA,",",4)
(RIGHT_PAREN,")",4)
(LEFT_PAREN,"(",5)
(COMMA,",",5)
(COMMA,",",5)
(RIGHT_PAREN,")",5)
(LEFT_PAREN,"(",6)
(COMMA,",",6)
(RIGHT_PAREN,")",6)
(LEFT_PAREN,"(",7)
(COMMA,",",7)
(RIGHT_PAREN,")",7)
(LEFT_PAREN,"(",8)
(RIGHT_PAREN,")",8)
(LEFT_PAREN,"(",9)
(COMMA,",",9)
(COMMA,",",9)
(COMMA,",",9)
(COMMA,",",9)
(RIGHT_PAREN,")",9)
(LEFT_PAREN,"(",10)
(COMMA,",",10)
(COMMA,",",10)
(RIGHT_PAREN,")",10)
(LEFT_PAREN,"(",11)
(COMMA,",",11)
(COMMA,",",11)
(COMMA,",",11)
(RIGHT_PAREN,")",11)
(FACTS,"Facts",13)
(COLON,":",13)
(LEFT_PAREN,"(",14)
(STRING,"'12345'",14)
(COMMA,",",14)
(STRING,"'C. Brown'",14)
(COMMA,",",14)
(STRING,"'12 Apple St.'",14)
(COMMA,",",14)
(STRING,"'555-1234'",14)
(RIGHT_PAREN,")",14)
(PERIOD,".",14)
(LEFT_PAREN,"(",15)
(STRING,"'67890'",15)
(COMMA,",",15)
(STRING,"'L. Van Pelt'",15)
(COMMA,",",15)
(STRING,"'34 Pear Ave.'",15)
(COMMA,",",15)
(STRING,"'555-5678'",15)
(RIGHT_PAREN,")",15)
(PERIOD,".",15)
(LEFT_PAREN,"(",16)
(STRING,"'22222'",16)
(COMMA,",",16)
(STRING,"'P. Patty'",16)
(COMMA,",",16)
(STRING,"'56 Grape Blvd.'",16)
(COMMA,",",16)
(STRING,"'555-9999'",16)
(RIGHT_PAREN,")",16)
(PERIOD,".",16)
(LEFT_PAREN,"(",17)
(STRING,"'33333'",17)
(COMMA,",",17)
(STRING,"'Snoopy'",17)
(COMMA,",",17)
(STRING,"'12 Apple St.'",17)
(COMMA,",",17)
(STRING,"'555-1234'",17)
(RIGHT_PAREN,")",17)
(PERIOD,".",17)
(LEFT_PAREN,"(",18)
(STRING,"'CS101'",18)
(COMMA,",",18)
(STRING,"'12345'",18)
(COMMA,",",18)
(STRING,"'A'",18)
(RIGHT_PAREN,")",18)
(PERIOD,".",18)
(LEFT_PAREN,"(",19)
(STRING,"'CS101'",19)
(COMMA,",",19)
(STRING,"'67890'",19)
(COMMA,",",19)
(STRING,"'B'",19)
(RIGHT_PAREN,")",19)
(PERIOD,".",19)
(LEFT_PAREN,"(",20)
(STRING,"'EE200'",20)
(COMMA,",",20)
(STRING,"'12345'",20)
(COMMA,",",20)
(STRING,"'C'",20)
(RIGHT_PAREN,")",20)
(PERIOD,".",20)
(LEFT_PAREN,"(",21)
(STRING,"'EE200'",21)
(COMMA,",",21)
(STRING,"'22222'",21)
(COMMA,",",21)
(STRING,"'B+'",21)
(RIGHT_PAREN,")",21)
(PERIOD,".",21)
(LEFT_PAREN,"(",22)
(STRING,"'EE200'",22)
(COMMA,",",22)
(STRING,"'33333'",22)
(COMMA,",",22)
(STRING,"'B'",22)
(RIGHT_PAREN,")",22)
(PERIOD,".",22)
(LEFT_PAREN,"(",23)
(STRING,"'CS101'",23)
(COMMA,",",23)
(STRING,"'33333'",23)
(COMMA,",",23)
(STRING,"'A-'",23)
(RIGHT_PAREN,")",23)
(PERIOD,".",23)
(LEFT_PAREN,"(",24)
(STRING,"'PH100'",24)
(COMMA,",",24)
(STRING,"'67890'",24)
(COMMA,",",24)
(STRING,"'C+'",24)
(RIGHT_PAREN,")",24)
(PERIOD,".",24)
(LEFT_PAREN,"(",25)
(STRING,"'CS101'",25)
(COMMA,",",25)
(STRING,"'CS100'",25)
(RIGHT_PAREN,")",25)
(PERIOD,".",25)
(LEFT_PAREN,"(",26)
(STRING,"'EE200'",26)
(COMMA,",",26)
(STRING,"'EE005'",26)
(RIGHT_PAREN,")",26)
(PERIOD,".",26)
(LEFT_PAREN,"(",27)
(STRING,"'EE200'",27)
(COMMA,",",27)
(STRING,"'CS100'",27)
(RIGHT_PAREN,")",27)
(PERIOD,".",27)
(LEFT_PAREN,"(",28)
(STRING,"'CS120'",28)
(COMMA,",",28)
(STRING,"'CS101'",28)
(RIGHT_PAREN,")",28)
(PERIOD,".",28)
(LEFT_PAREN,"(",29)
(STRING,"'CS121'",29)
(COMMA,",",29)
(STRING,"'CS120'",29)
(RIGHT_PAREN,")",29)
(PERIOD,".",29)
(LEFT_PAREN,"(",30)
(STRING,"'CS205'",30)
(COMMA,",",30)
(STRING,"'CS101'",30)
(RIGHT_PAREN,")",30)
(PERIOD,".",30)
(LEFT_PAREN,"(",31)
(STRING,"'CS206'",31)
(COMMA,",",31)
(STRING,"'CS121'",31)
(RIGHT_PAREN,")",31)
(PERIOD,".",31)
(LEFT_PAREN,"(",32)
(STRING,"'CS206'",32)
(COMMA,",",32)
(STRING,"'CS205'",32)
(RIGHT_PAREN,")",32)
(PERIOD,".",32)
(LEFT_PAREN,"(",33)
(STRING,"'CS101'",33)
(COMMA,",",33)
(STRING,"'Tu'",33)
(COMMA,",",33)
(STRING,"'10AM'",33)
(RIGHT_PAREN,")",33)
(PERIOD,".",33)
(LEFT_PAREN,"(",34)
(STRING,"'EE200'",34)
(COMMA,",",34)
(STRING,"'M'",34)
(COMMA,",",34)
(STRING,"'10AM'",34)
(RIGHT_PAREN,")",34)
(PERIOD,".",34)
(LEFT_PAREN,"(",35)
(STRING,"'EE200'",35)
(COMMA,",",35)
(STRING,"'W'",35)
(COMMA,",",35)
(STRING,"'1PM'",35)
(RIGHT_PAREN,")",35)
(PERIOD,".",35)
(LEFT_PAREN,"(",36)
(STRING,"'EE200'",36)
(COMMA,",",36)
(STRING,"'F'",36)
(COMMA,",",36)
(STRING,"'10AM'",36)
(RIGHT_PAREN,")",36)
(PERIOD,".",36)
(LEFT_PAREN,"(",37)
(STRING,"'PH100'",37)
(COMMA,",",37)
(STRING,"'Th'",37)
(COMMA,",",37)
(STRING,"'11AM'",37)
(RIGHT_PAREN,")",37)
(PERIOD,".",37)
(LEFT_PAREN,"(",38)
(STRING,"'CS101'",38)
(COMMA,",",38)
(STRING,"'Turing Aud.'",38)
(RIGHT_PAREN,")",38)
(PERIOD,".",38)
(LEFT_PAREN,"(",39)
(STRING,"'EE200'",39)
(COMMA,",",39)
(STRING,"'25 Ohm Hall'",39)
(RIGHT_PAREN,")",39)
(PERIOD,".",39)
(LEFT_PAREN,"(",40)
(STRING,"'PH100'",40)
(COMMA,",",40)
(STRING,"'Newton Lab.'",40)
(RIGHT_PAREN,")",40)
(PERIOD,".",40)
(RULES,"Rules",42)
(COLON,":",42)
(LEFT_PAREN,"(",43)
(COMMA,",",43)
(RIGHT_PAREN,")",43)
(COLON_DASH,":-",43)
(LEFT_PAREN,"(",43)
(COMMA,",",43)
(RIGHT_PAREN,")",43)
(PERIOD,".",43)
(LEFT_PAREN,"(",44)
(COMMA,",",44)
(RIGHT_PAREN,")",44)
(COLON_DASH,":-",44)
(LEFT_PAREN,"(",44)
(COMMA,",",44)
(RIGHT_PAREN,")",44)
(COMMA,",",44)
(LEFT_PAREN,"(",44)
(COMMA,",",44)
(RIGHT_PAREN,")",44)
(PERIOD,".",44)
(LEFT_PAREN,"(",45)
(RIGHT_PAREN,")",45)
(COLON_DASH,":-",45)
(LEFT_PAREN,"(",45)
(COMMA,",",45)
(STRING,"'Tu'",45)
(COMMA,",",45)
(RIGHT_PAREN,")",45)
(PERIOD,".",45)
(LEFT_PAREN,"(",46)
(RIGHT_PAREN,")",46)
(COLON_DASH,":-",46)
(LEFT_PAREN,"(",46)
(COMMA,",",46)
(STRING,"'Th'",46)
(COMMA,",",46)
(RIGHT_PAREN,")",46)
(PERIOD,".",46)
(LEFT_PAREN,"(",47)
(COMMA,",",47)
(COMMA,",",47)
(COMMA,",",47)
(COMMA,",",47)
(RIGHT_PAREN,")",47)
(COLON_DASH,":-",47)
(LEFT_PAREN,"(",47)
(COMMA,",",47)
(COMMA,",",47)
(COMMA,",",47)
(RIGHT_PAREN,")",47)
(COMMA,",",47)
(LEFT_PAREN,"(",47)
(COMMA,",",47)
(COMMA,",",47)
(RIGHT_PAREN,")",47)
(COMMA,",",47)
(LEFT_PAREN,"(",47)
(COMMA,",",47)
(RIGHT_PAREN,")",47)
(COMMA,",",47)
